id,name,email,password,salary,department,title,company_id,hire_date,status,is_admin,is_owner
1,Sarah Johnson,sarah.johnson@techvision.com,SecurePass123!,185000.00,Engineering,VP Engineering,1,2018-03-15,Active,true,true
2,Michael Chen,michael.chen@techvision.com,SecurePass123!,165000.00,Product,Director of Product,1,2018-06-20,Active,false,false
3,Emily Rodriguez,emily.rodriguez@techvision.com,SecurePass123!,145000.00,Human Resources,HR Director,1,2019-01-10,Active,false,false
4,David Kim,david.kim@globalfinance.com,SecurePass123!,195000.00,Operations,Chief Operations Officer,2,2015-06-20,Active,true,true
5,Jessica Martinez,jessica.martinez@globalfinance.com,SecurePass123!,210000.00,Finance,CFO,2,2015-08-15,Active,false,false
6,Robert Taylor,robert.taylor@globalfinance.com,SecurePass123!,155000.00,Compliance,Compliance Director,2,2016-03-10,Active,false,false
7,Amanda White,amanda.white@healthcare.com,SecurePass123!,225000.00,Medical Services,Chief Medical Officer,3,2017-09-10,Active,true,true
8,Christopher Lee,christopher.lee@healthcare.com,SecurePass123!,175000.00,Administration,Hospital Administrator,3,2018-02-15,Active,false,false
9,Jennifer Brown,jennifer.brown@edutech.com,SecurePass123!,140000.00,Academic Affairs,Dean of Students,4,2019-01-05,Active,true,true
10,Daniel Garcia,daniel.garcia@edutech.com,SecurePass123!,135000.00,Technology,IT Director,4,2019-04-20,Active,false,false
11,Michelle Wilson,michelle.wilson@greenenergy.com,SecurePass123!,170000.00,Renewable Energy,VP Renewable Projects,5,2016-11-12,Active,true,true
12,James Anderson,james.anderson@greenenergy.com,SecurePass123!,155000.00,Research,Director of R&D,5,2017-03-25,Active,false,false
13,Laura Thompson,laura.thompson@retaildynamics.com,SecurePass123!,125000.00,Store Operations,Regional Manager,6,2014-08-25,Active,true,true
14,Kevin Martinez,kevin.martinez@retaildynamics.com,SecurePass123!,140000.00,Supply Chain,Supply Chain Director,6,2015-02-18,Active,false,false
15,Rachel Davis,rachel.davis@mfgpro.com,SecurePass123!,145000.00,Production,Plant Manager,7,2012-05-30,Active,true,true
16,Thomas Moore,thomas.moore@mfgpro.com,SecurePass123!,135000.00,Quality Assurance,QA Director,7,2013-01-15,Active,false,false
17,Nicole Jackson,nicole.jackson@consultingllc.com,SecurePass123!,195000.00,Strategy,Managing Partner,8,2020-02-14,Active,true,true
18,Brandon Clark,brandon.clark@consultingllc.com,SecurePass123!,155000.00,Client Services,Director of Client Relations,8,2020-06-10,Active,false,false
19,Stephanie Lewis,stephanie.lewis@mediasolutions.com,SecurePass123!,145000.00,Content,Content Director,9,2017-07-19,Active,true,true
20,Andrew Robinson,andrew.robinson@mediasolutions.com,SecurePass123!,150000.00,Digital Marketing,Marketing Director,9,2017-11-05,Active,false,false
21,Christina Walker,christina.walker@legalassoc.com,SecurePass123!,225000.00,Corporate Law,Senior Partner,10,2013-10-08,Active,true,true
22,Matthew Hall,matthew.hall@legalassoc.com,SecurePass123!,185000.00,Litigation,Litigation Director,10,2014-05-20,Active,false,false
23,Elizabeth Allen,elizabeth.allen@realestate.com,SecurePass123!,165000.00,Commercial Properties,VP Commercial,11,2015-12-01,Active,true,true
24,Joshua Young,joshua.young@realestate.com,SecurePass123!,145000.00,Residential,Director of Residential Sales,11,2016-06-15,Active,false,false
25,Samantha King,samantha.king@foodservices.com,SecurePass123!,120000.00,Culinary Operations,Executive Chef,12,2018-04-22,Active,true,true
26,Ryan Wright,ryan.wright@foodservices.com,SecurePass123!,110000.00,Restaurant Management,General Manager,12,2018-09-10,Active,false,false
27,Ashley Scott,ashley.scott@transportsys.com,SecurePass123!,140000.00,Logistics,Logistics Director,13,2016-03-18,Active,true,true
28,Justin Green,justin.green@transportsys.com,SecurePass123!,125000.00,Fleet Management,Fleet Operations Manager,13,2016-08-25,Active,false,false
29,Megan Adams,megan.adams@biotechinno.com,SecurePass123!,195000.00,Research,Chief Science Officer,14,2019-08-05,Active,true,true
30,Tyler Baker,tyler.baker@biotechinno.com,SecurePass123!,175000.00,Clinical Trials,Clinical Director,14,2020-01-15,Active,false,false
31,Rebecca Nelson,rebecca.nelson@inspartners.com,SecurePass123!,165000.00,Underwriting,VP Underwriting,15,2014-11-15,Active,true,true
32,Eric Carter,eric.carter@inspartners.com,SecurePass123!,145000.00,Claims,Claims Director,15,2015-04-20,Active,false,false
