id,name,email,password,salary,position,hire_date,manager_id,company_id,status
100,Alex Morgan,alex.morgan@techvision.com,SecurePass123!,95000.00,Senior Software Engineer,2020-01-15,1,1,Active
101,Sophie Turner,sophie.turner@techvision.com,SecurePass123!,85000.00,Software Engineer,2021-03-22,1,1,Active
102,Lucas Bennett,lucas.bennett@techvision.com,SecurePass123!,78000.00,Frontend Developer,2021-06-10,1,1,Active
103,Emma Collins,emma.collins@techvision.com,SecurePass123!,92000.00,DevOps Engineer,2020-09-01,1,1,Active
104,Oliver Hayes,oliver.hayes@techvision.com,SecurePass123!,88000.00,Backend Developer,2021-01-20,1,1,Active
105,Ava Mitchell,ava.mitchell@techvision.com,SecurePass123!,72000.00,Product Manager,2022-02-15,2,1,Active
106,Noah Foster,noah.foster@techvision.com,SecurePass123!,68000.00,UX Designer,2022-05-01,2,1,Active
107,Isabella Gray,isabella.gray@techvision.com,SecurePass123!,75000.00,Business Analyst,2021-11-10,2,1,Active
108,Liam Hughes,liam.hughes@techvision.com,SecurePass123!,65000.00,HR Coordinator,2022-08-15,3,1,Active
109,Mia Richardson,mia.richardson@techvision.com,SecurePass123!,62000.00,Recruiter,2023-01-05,3,1,Active
110,Ethan Cooper,ethan.cooper@globalfinance.com,SecurePass123!,105000.00,Senior Financial Analyst,2019-03-10,5,2,Active
111,Charlotte Bell,charlotte.bell@globalfinance.com,SecurePass123!,98000.00,Financial Analyst,2020-07-15,5,2,Active
112,Mason Ward,mason.ward@globalfinance.com,SecurePass123!,87000.00,Accountant,2021-02-20,5,2,Active
113,Amelia Ross,amelia.ross@globalfinance.com,SecurePass123!,92000.00,Investment Analyst,2020-11-05,5,2,Active
114,Jackson Peterson,jackson.peterson@globalfinance.com,SecurePass123!,115000.00,Risk Manager,2019-09-12,4,2,Active
115,Harper Coleman,harper.coleman@globalfinance.com,SecurePass123!,88000.00,Operations Coordinator,2021-04-18,4,2,Active
116,Elijah Murphy,elijah.murphy@globalfinance.com,SecurePass123!,79000.00,Compliance Analyst,2022-01-30,6,2,Active
117,Scarlett Jenkins,scarlett.jenkins@globalfinance.com,SecurePass123!,83000.00,Audit Specialist,2021-08-22,6,2,Active
118,Logan Perry,logan.perry@healthcare.com,SecurePass123!,95000.00,Registered Nurse,2020-05-15,7,3,Active
119,Chloe Powell,chloe.powell@healthcare.com,SecurePass123!,87000.00,Medical Technician,2021-03-08,7,3,Active
120,Jackson Long,jackson.long@healthcare.com,SecurePass123!,92000.00,Lab Supervisor,2020-10-12,7,3,Active
121,Grace Barnes,grace.barnes@healthcare.com,SecurePass123!,78000.00,Patient Care Coordinator,2022-01-20,8,3,Active
122,Aiden Ross,aiden.ross@healthcare.com,SecurePass123!,82000.00,Administrative Assistant,2021-07-15,8,3,Active
123,Lily Henderson,lily.henderson@edutech.com,SecurePass123!,68000.00,Curriculum Developer,2021-09-01,9,4,Active
